Id,Label,timeset,type,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
286287,286287,,Technology,3,1,1,1,0.5
286850,286850,,Technology,3,1,1,1,0.5
312644,312644,,Technology,2,2,0.75,0.833333,0
513192,513192,,Technology,2,2,0.75,0.833333,0
286297,286297,,Technology,1,1,1,1,0
483624,483624,,Technology,1,1,1,1,0
286302,286302,,Technology,2,5,0.363636,0.49375,0
290143,290143,,Technology,3,4,0.5,0.635417,12
518727,518727,,Technology,2,5,0.363636,0.49375,0
330143,330143,,Technology,1,2,0.666667,0.75,0
286306,286306,,Technology,1,2,0.666667,0.75,0
332752,332752,,Technology,2,1,1,1,1
286310,286310,,Technology,1,2,0.6,0.666667,0
484602,484602,,Technology,3,1,1,1,3
286318,286318,,Technology,2,2,0.666667,0.75,4
378806,378806,,Technology,2,3,0.571429,0.708333,3
545558,545558,,Technology,2,3,0.571429,0.708333,3
286322,286322,,Technology,4,1,1,1,1.5
292712,292712,,Technology,4,1,1,1,1.5
301086,301086,,Technology,2,2,0.666667,0.75,0
353273,353273,,Technology,2,2,0.666667,0.75,0
377255,377255,,Technology,2,2,0.666667,0.75,0
286336,286336,,Technology,3,3,0.6,0.722222,2.166667
441901,441901,,Technology,2,3,0.545455,0.638889,0.583333
527598,527598,,Technology,2,3,0.545455,0.638889,0.583333
531957,531957,,Technology,3,2,0.666667,0.75,3.666667
286341,286341,,Technology,1,1,1,1,0
503692,503692,,Technology,1,1,1,1,0
286348,286348,,Technology,1,2,0.666667,0.75,0
401716,401716,,Technology,2,1,1,1,1
286364,286364,,Technology,1,2,0.666667,0.75,0
527924,527924,,Technology,2,1,1,1,1
286370,286370,,Technology,1,10,0.180723,0.255899,0
369296,369296,,Technology,2,9,0.217391,0.329709,14
286373,286373,,Technology,2,2,0.75,0.833333,0.5
297126,297126,,Technology,2,2,0.75,0.833333,0.5
434725,434725,,Technology,2,2,0.75,0.833333,0.5
286374,286374,,Technology,1,2,0.666667,0.75,0
531506,531506,,Technology,2,1,1,1,1
286386,286386,,Technology,1,1,1,1,0
294546,294546,,Technology,1,1,1,1,0
286390,286390,,Technology,2,2,0.75,0.833333,0.5
411034,411034,,Technology,2,2,0.75,0.833333,0.5
461889,461889,,Technology,2,2,0.75,0.833333,0.5
286404,286404,,Technology,2,2,0.75,0.833333,0.5
510834,510834,,Technology,2,2,0.75,0.833333,0.5
538809,538809,,Technology,2,2,0.75,0.833333,0.5
286411,286411,,Technology,1,2,0.666667,0.75,0
